METAPHORS,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,SUM,AVERAGE,VARIANCE,
statique,1,1,0,2,4,0,5,2,2,0,1,2,0,5,1,0,0,1,0,4,0,2,7,4,0,0,1,1,2,0,1,0,0,2,0,1,4,0,6,0,1,0,1,0,5,0,2,7,2,0,0,0,0,0,4,2,0,0,2,2,0,0,1,2,6,0,0,2,1,3,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,115,1.23655914,3.052127162,
poison mortel se répandant dans les veines,0,1,0,0,3,4,0,1,0,0,1,2,0,7,0,0,4,0,0,1,0,1,1,5,0,1,0,1,3,0,0,0,0,0,2,5,8,4,0,0,0,7,1,0,4,0,0,0,6,0,0,0,0,0,0,3,1,0,0,7,0,0,1,0,8,0,0,3,1,4,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,5,0,0,1,0,0,0,116,1.247311828,4.492519869,
élastique,3,4,1,4,6,6,6,2,0,0,2,1,1,3,2,0,0,0,0,5,0,4,1,0,0,2,1,0,4,1,0,0,2,0,2,1,4,0,4,0,1,1,0,6,3,0,4,0,2,1,0,0,0,0,1,1,0,3,0,4,0,0,2,0,0,0,1,2,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,116,1.247311828,2.970780739,
déranger,1,1,0,3,5,0,0,1,0,0,2,1,1,1,1,0,2,0,7,2,0,3,2,4,4,3,0,2,3,7,0,0,0,7,0,0,1,0,2,1,0,0,1,0,4,0,2,4,0,0,0,0,0,0,0,1,0,0,4,5,1,0,1,1,0,1,0,5,2,3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,1,0,4,0,3,1,117,1.258064516,3.063113604,
mâchoire,0,4,2,0,5,5,3,4,0,0,0,2,1,3,0,0,0,0,0,2,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,4,0,2,0,0,2,7,1,6,0,0,0,0,6,1,0,0,0,0,5,0,3,2,3,0,0,3,7,4,1,0,1,4,0,0,0,0,1,0,4,0,0,1,0,0,0,4,0,0,0,1,0,117,1.258064516,3.541374474,
dure,0,1,0,5,1,3,0,2,7,0,2,5,0,2,0,0,1,1,0,3,0,0,1,5,0,3,1,1,3,4,0,0,0,0,2,0,0,3,0,0,2,0,0,5,6,0,0,3,1,0,0,0,0,0,0,1,6,0,0,5,0,0,1,0,4,0,0,4,1,3,4,5,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,1,0,2,0,118,1.268817204,3.32912576,
mou,2,1,0,2,3,0,4,1,5,0,2,2,0,2,0,0,0,1,0,2,0,4,1,2,0,2,0,1,1,2,0,0,3,5,0,5,1,2,6,0,3,2,3,0,0,0,3,4,1,2,0,0,0,1,0,1,1,1,1,5,0,0,3,3,0,0,1,2,1,3,2,1,0,0,0,0,0,1,2,0,0,0,2,1,0,0,1,1,0,1,0,3,0,118,1.268817204,2.176951847,
coup,2,4,0,1,3,0,0,1,0,0,2,1,0,8,0,2,0,0,0,2,0,3,1,1,0,2,5,1,0,1,0,0,0,0,0,0,2,0,6,0,1,2,2,6,5,0,3,8,1,1,0,0,0,0,2,1,4,0,0,6,0,0,1,0,3,0,1,3,1,4,0,0,0,0,6,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,4,1,120,1.290322581,3.686535764,
affaissement,1,1,2,4,0,5,0,0,1,0,2,3,1,5,0,0,1,0,1,2,5,0,3,4,0,2,5,2,1,1,0,0,0,3,2,0,2,0,2,2,0,1,0,2,4,2,0,2,0,2,0,0,1,0,3,0,0,2,0,0,4,0,1,0,6,3,0,1,3,4,2,0,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,121,1.301075269,2.451846657,
courbé,1,1,3,0,0,5,4,0,1,0,7,1,1,2,0,0,1,0,3,0,2,0,3,2,0,1,2,6,1,3,0,0,2,0,0,0,1,2,1,1,0,0,2,3,4,1,0,2,2,6,0,0,0,0,1,0,2,0,0,2,3,0,1,4,1,2,0,3,1,5,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,4,0,121,1.301075269,3.038803179,
figé,2,4,0,1,4,0,2,2,3,1,2,2,0,6,1,1,0,1,0,2,0,1,2,2,0,2,1,0,3,1,0,0,1,2,0,4,1,3,6,0,2,2,1,0,6,2,2,0,3,0,0,0,0,3,1,3,0,0,1,2,0,0,3,2,0,0,0,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,1,0,0,3,121,1.301075269,2.560542309,
lisse,4,1,1,4,0,5,6,0,1,0,4,0,1,5,0,0,1,0,1,0,4,0,2,1,0,1,2,0,1,2,1,0,0,0,0,0,1,3,3,0,0,6,0,3,2,0,0,4,2,3,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,2,3,3,3,0,7,0,0,3,0,4,2,0,1,0,0,1,0,0,0,0,1,0,3,0,4,0,122,1.311827957,3.043010753,
oppression,1,1,2,3,1,1,0,3,2,1,2,4,0,6,0,1,0,3,3,3,0,0,3,6,0,3,1,1,4,6,0,0,0,6,2,7,1,2,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,1,6,1,2,1,0,0,0,2,0,0,3,0,0,3,0,0,1,0,0,0,4,3,1,0,0,0,122,1.311827957,3.41257597,
procession,1,0,2,1,0,3,4,0,1,0,5,1,1,1,1,4,1,0,0,0,4,0,6,1,0,3,4,1,0,2,0,0,0,0,0,0,6,1,0,1,0,1,4,1,6,4,0,1,0,2,0,0,0,0,1,0,4,0,2,0,3,0,2,0,0,1,1,3,1,3,1,3,5,0,1,0,0,1,5,4,2,0,3,0,1,0,0,1,0,0,0,0,0,122,1.311827957,2.847358579,
tombé,4,4,1,0,0,6,0,0,1,0,0,4,1,1,0,0,0,0,0,0,3,0,3,1,3,1,3,3,1,2,1,0,4,0,0,0,6,1,3,5,0,6,0,4,2,5,2,3,1,2,0,0,0,0,2,6,1,0,0,0,4,0,0,1,2,3,1,3,1,3,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,122,1.311827957,2.91257597,
enfermer,1,1,1,0,0,6,0,0,2,0,4,3,1,7,0,0,1,0,2,0,4,0,2,2,0,2,1,6,1,3,1,0,4,0,0,0,1,2,5,1,0,3,2,0,3,1,0,1,1,4,0,0,0,1,1,0,3,0,1,0,1,1,2,0,3,2,2,3,2,3,0,1,4,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,2,0,3,0,123,1.322580645,2.655680224,
sourd,0,1,0,2,3,1,0,5,0,0,1,1,3,1,2,0,0,0,2,4,0,1,1,4,0,1,5,1,5,5,1,0,4,0,0,3,0,1,0,0,0,2,0,0,0,0,0,8,1,1,0,0,0,0,7,1,0,0,0,0,5,0,2,4,0,0,1,3,6,3,0,1,0,0,1,0,0,2,2,0,0,0,3,0,2,0,0,3,0,0,0,1,6,123,1.322580645,3.525245442,
brutalité,0,0,1,4,0,2,0,0,1,0,4,0,4,3,0,1,0,0,1,7,5,0,3,1,1,5,1,0,1,2,4,0,0,0,5,0,6,2,4,3,0,5,0,0,4,2,0,5,1,0,0,0,0,0,4,0,3,0,0,0,5,0,1,0,0,3,0,3,2,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,124,1.333333333,3.528985507,
tituber,0,3,1,2,0,3,1,0,3,0,2,0,1,2,0,3,0,0,1,0,2,0,4,1,0,2,5,2,1,0,5,0,7,0,8,0,2,1,0,1,0,6,1,4,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,5,0,0,3,2,0,1,4,2,2,0,0,5,0,2,3,0,1,0,0,3,0,0,0,0,0,0,1,0,0,2,0,8,124,1.333333333,3.572463768,
trille,0,3,0,0,6,0,1,1,0,0,1,1,0,5,0,3,0,0,0,2,0,7,6,8,0,2,0,1,7,0,0,0,5,0,0,0,1,0,4,0,0,2,0,0,6,0,0,8,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,1,2,0,0,0,5,7,0,0,0,3,0,1,0,3,1,124,1.333333333,5.18115942,
penché,1,2,0,0,6,0,0,1,0,0,2,3,0,6,1,0,0,2,0,2,0,3,1,2,0,3,4,1,1,0,0,0,7,0,0,1,2,0,7,0,1,3,2,0,1,0,1,6,1,4,0,0,2,0,2,1,1,0,0,5,0,0,1,0,0,0,3,2,1,4,7,0,0,7,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,125,1.344086022,3.967274427,
balayer,4,4,5,1,3,3,0,0,3,0,2,2,1,5,1,0,1,0,1,0,3,0,1,1,0,0,2,0,1,2,0,0,0,4,0,2,6,4,1,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,2,3,0,2,1,3,0,2,3,6,3,0,0,0,0,0,0,0,3,5,4,3,0,0,0,0,0,0,1,0,2,0,4,8,126,1.35483871,3.166199158,
emprisonné,4,2,0,0,1,7,1,1,2,0,2,3,0,1,1,0,2,1,0,3,0,3,2,4,0,4,1,1,3,1,0,0,0,2,0,6,1,5,0,5,0,0,6,1,3,0,0,1,1,0,0,0,1,0,0,4,1,0,0,6,0,0,1,0,1,1,1,3,1,5,0,0,0,2,3,0,0,2,0,0,3,0,3,0,0,0,0,6,0,1,1,0,0,127,1.365591398,3.190977092,
s'asseoir,3,4,0,0,5,0,2,4,0,0,1,1,0,1,4,2,0,4,0,2,0,4,3,0,0,2,0,1,0,4,0,0,2,0,0,0,3,0,1,3,0,3,1,4,0,0,0,1,1,1,0,0,4,0,7,1,0,0,1,4,0,4,5,0,0,0,0,5,1,4,2,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,3,6,5,2,0,127,1.365591398,3.212716223,
rentrée,0,2,3,0,0,5,0,0,1,0,0,5,1,6,0,0,2,0,1,0,2,0,3,2,0,0,2,5,1,0,0,0,3,4,0,0,2,7,1,0,0,6,0,7,1,2,0,0,0,1,0,0,2,1,1,5,1,0,0,2,3,0,0,0,0,2,0,4,1,5,0,0,8,0,0,0,0,2,0,1,1,0,2,0,0,1,0,0,1,7,2,1,0,128,1.376344086,3.998129967,
menace,1,0,1,0,0,2,0,0,2,0,6,1,3,5,0,0,0,0,0,2,3,0,3,1,0,4,2,2,0,3,1,0,0,2,7,0,8,1,4,1,0,5,0,0,5,5,0,5,1,0,0,0,0,0,1,0,6,0,0,0,5,0,2,1,0,2,1,3,3,2,0,0,0,0,3,0,0,0,0,1,3,0,3,0,2,0,0,0,0,3,1,1,0,129,1.387096774,3.609396914,
étouffant,3,0,2,0,0,2,5,0,1,0,1,1,1,1,0,1,1,1,1,0,4,0,1,1,3,3,2,2,1,5,1,0,5,0,2,0,8,1,2,0,0,4,1,0,1,2,3,6,1,1,0,0,0,1,2,7,2,0,0,0,5,0,1,4,1,2,1,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1,3,1,0,2,0,0,1,0,129,1.387096774,3.044179523,
sortilège,1,1,0,1,6,6,0,3,0,0,1,2,0,3,2,0,1,3,1,5,0,8,2,3,0,2,0,5,1,1,0,0,0,1,5,0,1,1,0,0,0,1,0,3,5,0,0,0,4,1,0,0,0,0,0,1,4,0,2,2,0,0,0,0,5,0,4,4,1,4,0,0,5,0,1,0,0,0,0,5,0,1,3,0,2,0,4,0,0,1,1,0,0,130,1.397849462,3.546517064,
baisser la tête,1,0,2,0,0,1,5,0,1,1,1,1,1,4,0,0,2,0,1,0,2,0,3,1,4,1,4,3,2,1,1,0,5,4,0,0,3,1,6,6,0,0,1,2,0,3,0,3,0,2,0,0,0,0,1,6,6,0,0,2,4,0,0,0,1,1,0,4,1,3,0,2,0,3,3,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,8,131,1.408602151,3.461664329,
malaise,1,1,1,1,0,2,0,0,1,2,5,3,2,8,0,0,1,0,1,3,5,0,2,1,0,5,3,3,1,4,2,0,3,0,0,0,0,5,4,0,2,2,0,0,4,2,0,2,2,2,0,0,0,2,1,0,5,0,0,1,5,2,1,1,5,0,0,4,2,2,1,1,0,0,1,0,0,0,0,0,0,0,3,0,1,2,0,0,1,1,0,3,0,131,1.408602151,2.874707807,
naïf,0,6,0,0,6,0,0,2,2,0,1,3,0,6,3,2,2,1,0,5,0,3,1,4,0,1,2,1,4,1,0,0,0,1,0,0,1,2,1,0,2,4,0,7,0,2,0,3,0,1,0,0,2,0,0,1,1,0,6,4,2,0,0,5,0,4,4,2,1,4,2,2,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,131,1.408602151,3.287751286,
abattu,0,1,1,1,0,1,0,0,1,0,1,2,1,4,0,0,2,1,1,6,3,0,3,1,0,5,6,6,1,3,4,0,0,0,2,0,2,0,1,8,0,1,4,0,1,3,0,1,0,0,0,0,0,2,1,0,3,3,0,0,5,2,1,1,5,0,1,3,3,2,2,1,4,0,2,0,0,0,0,0,2,0,1,2,4,0,0,2,2,0,0,1,0,133,1.430107527,3.073866293,
escalier,4,2,6,1,0,8,0,0,1,0,0,1,3,4,0,0,3,3,1,0,3,0,1,1,0,3,5,0,1,0,0,0,0,0,0,0,3,7,2,7,0,1,0,8,2,1,0,4,3,2,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,1,3,4,4,0,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,3,0,3,0,133,1.430107527,4.42169238,
fléchir,0,0,1,0,0,6,5,2,2,0,4,1,2,6,0,0,1,0,0,0,3,0,8,1,0,2,5,0,1,1,0,0,0,0,6,1,8,2,1,1,0,0,1,6,2,1,0,4,3,3,0,0,0,0,2,2,0,0,0,2,3,0,0,1,2,0,0,5,1,3,0,0,0,2,6,0,0,0,0,5,0,0,6,0,0,0,0,1,0,1,0,1,0,133,1.430107527,4.247779336,
rond,4,3,4,2,0,5,0,0,1,1,0,0,2,1,0,0,0,0,1,0,3,0,2,1,0,4,6,0,1,4,0,0,0,6,0,2,1,2,2,4,0,0,0,5,2,2,0,3,2,6,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,4,7,2,3,0,7,0,0,0,3,6,1,0,5,0,0,2,0,0,0,0,1,0,0,0,3,0,133,1.430107527,3.812996727,
lourd,1,0,3,3,0,5,0,0,1,0,4,1,1,1,0,0,0,0,1,0,2,0,3,1,0,6,2,6,1,3,0,1,0,0,4,0,7,3,1,0,0,6,0,0,5,2,0,4,1,2,0,0,0,0,2,0,3,0,0,0,3,0,2,0,0,2,2,4,2,3,0,5,0,0,0,8,0,1,0,3,0,0,1,0,3,0,0,2,0,0,0,2,5,134,1.440860215,3.683964469,
grimper,3,3,0,4,4,2,0,1,1,0,1,7,0,1,3,2,0,2,0,4,0,3,1,2,0,1,0,0,2,2,0,0,0,4,0,4,1,4,5,0,0,6,1,5,4,0,3,0,2,1,0,0,2,0,0,2,0,0,0,6,0,0,2,0,1,0,3,3,1,4,6,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,5,0,135,1.451612903,3.402524544,
tunnel,4,3,0,4,4,5,4,8,0,0,4,1,0,7,0,0,0,1,0,8,0,1,2,0,0,2,0,2,1,1,0,0,0,7,2,8,1,0,1,1,0,4,2,6,0,0,1,1,0,2,0,0,4,0,0,5,1,0,2,5,0,0,0,0,1,0,0,3,1,4,0,0,0,0,0,0,1,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,135,1.451612903,4.598176718,
attaquer,1,3,3,0,0,6,0,0,1,0,4,1,2,1,0,7,1,3,1,0,5,0,3,1,0,1,1,0,1,2,1,0,2,0,8,0,8,1,3,1,0,6,1,1,5,3,0,1,0,1,0,0,0,0,1,0,2,0,0,1,5,0,2,5,0,0,1,3,2,4,0,1,0,0,5,6,0,1,0,0,0,0,4,0,2,0,0,0,0,1,0,1,0,137,1.47311828,4.034595605,
regard vers le bas,0,3,1,0,0,6,0,0,1,1,1,1,1,7,0,0,2,0,2,0,3,0,2,1,2,0,5,3,3,0,1,0,6,4,1,0,6,1,4,6,0,1,5,0,0,2,3,2,2,2,0,0,3,1,1,5,5,0,1,0,3,0,1,0,5,1,0,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,137,1.47311828,3.904160823,
rotation,4,5,0,6,5,0,0,1,0,2,2,1,1,6,1,0,0,2,0,2,0,4,1,4,0,2,2,0,0,1,0,0,5,0,1,0,3,0,1,4,0,2,3,1,3,0,5,0,1,2,0,0,1,0,7,1,4,0,0,2,0,0,1,0,1,0,4,4,1,5,6,0,0,6,0,0,5,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,137,1.47311828,3.730247779,
cavalerie,1,1,4,0,0,5,5,0,2,0,0,0,6,4,0,7,3,0,1,0,2,0,5,1,0,1,1,0,1,0,1,0,0,7,6,5,1,4,1,7,0,1,0,3,4,8,0,4,0,0,0,0,0,0,1,0,5,0,1,0,6,0,0,0,0,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,138,1.483870968,5.122019635,
descendre,2,3,0,3,5,2,0,2,6,0,4,6,0,7,0,6,0,1,0,5,0,5,1,1,0,1,8,1,3,5,0,0,0,0,0,0,2,5,2,0,0,4,2,1,5,0,2,1,1,2,0,0,4,0,0,1,0,0,0,3,0,0,1,0,1,0,2,4,2,5,0,2,0,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,138,1.483870968,4.122019635,
serrer les dents,4,1,0,7,5,5,0,1,2,0,1,1,0,7,3,1,0,1,4,3,0,3,2,0,2,1,3,1,1,5,0,0,0,2,0,0,1,0,1,0,1,4,4,5,0,0,0,8,1,1,0,0,0,0,0,1,3,0,0,2,0,0,5,0,3,0,2,6,6,2,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,2,0,6,0,0,0,0,0,138,1.483870968,4.100280505,
crispé,1,1,1,6,0,2,1,0,1,0,1,1,1,6,0,0,2,0,1,0,5,0,3,1,2,4,3,5,1,2,5,0,0,0,0,0,1,2,3,5,0,1,1,2,4,1,0,5,3,5,0,0,0,0,2,4,5,0,0,0,1,0,3,0,2,0,1,4,1,2,2,6,2,0,1,0,0,2,0,0,0,0,4,0,3,0,1,1,0,2,0,1,0,139,1.494623656,3.078775129,
enrouler,5,2,0,2,5,4,0,2,0,2,0,5,0,6,3,4,0,1,0,1,0,3,2,5,0,2,4,1,1,2,0,0,3,0,3,0,1,0,6,0,3,0,0,6,5,2,0,0,1,3,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,2,3,1,4,0,2,3,3,0,0,0,3,3,2,0,0,5,0,0,0,0,2,0,3,0,1,1,139,1.494623656,3.122253389,
nonchalant,3,1,3,3,3,0,0,1,2,0,1,7,0,1,3,1,0,1,0,3,0,4,3,5,0,2,2,0,1,0,0,0,3,6,1,0,1,0,5,0,5,7,6,0,0,0,2,3,3,0,0,0,2,0,0,1,2,0,3,3,0,0,1,6,0,0,4,2,1,5,4,0,0,0,3,0,0,0,0,0,0,2,4,2,0,0,0,1,0,1,0,1,0,140,1.505376344,3.557035998,
animaux qui courent,0,2,5,0,0,6,4,0,3,0,0,0,4,5,0,0,1,0,1,0,6,0,2,1,0,0,3,1,2,1,1,0,0,0,7,5,1,4,0,1,8,1,0,2,3,8,1,3,2,1,0,0,0,0,1,4,4,0,0,0,5,0,2,0,0,0,1,4,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,6,141,1.516129032,4.817671809,
cauchemar,0,6,0,3,1,5,0,1,0,0,1,1,0,3,0,0,0,0,7,4,0,1,1,5,0,3,3,2,3,1,0,0,0,5,0,0,3,1,1,6,0,1,2,2,7,0,0,5,1,0,0,0,1,0,0,4,5,6,0,5,4,1,1,0,3,0,5,3,2,2,0,1,2,0,3,0,0,1,0,0,0,0,2,1,0,0,1,0,0,2,0,0,1,141,1.516129032,3.774193548,
tangage,3,2,4,0,0,4,7,0,3,0,4,1,6,4,0,0,3,3,0,0,1,3,3,1,0,4,3,2,2,3,0,0,0,6,0,0,8,2,2,2,0,0,0,2,0,0,3,2,3,0,0,0,0,0,4,0,2,0,0,3,4,0,1,0,0,1,1,4,3,3,2,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5,1,1,0,2,0,141,1.516129032,3.469845722,
casser,0,0,3,0,0,4,4,0,1,0,2,2,1,2,2,2,1,1,1,0,7,0,3,1,0,1,4,4,1,2,0,0,3,1,0,0,5,2,1,3,0,6,1,5,4,3,0,4,0,4,0,0,0,0,1,2,3,0,0,0,3,0,2,1,0,0,1,4,3,3,0,0,0,0,5,0,0,1,0,1,0,7,0,0,2,0,0,2,0,8,0,2,0,142,1.52688172,3.578073866,
s'emmêler,1,2,4,2,0,8,0,0,2,0,3,2,4,4,0,0,4,0,3,0,2,3,3,2,0,2,2,3,1,1,1,0,5,0,0,0,5,2,4,2,0,6,0,4,1,0,0,1,3,2,0,0,0,3,1,0,1,0,2,1,1,0,1,1,0,0,2,5,5,5,1,0,0,0,3,0,0,1,0,0,3,0,1,0,1,0,0,1,0,3,2,4,0,142,1.52688172,3.078073866,
tableau,3,3,3,4,3,1,0,1,0,0,1,7,0,5,4,3,0,6,0,2,0,1,2,5,0,0,4,0,7,1,0,0,6,0,5,2,1,0,1,0,0,6,0,5,0,2,6,4,2,0,0,0,2,0,0,1,6,0,0,5,0,2,1,0,0,0,2,2,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,142,1.52688172,4.382421692,
terreur,1,5,0,0,2,6,0,1,6,0,4,2,0,7,1,0,0,1,5,2,0,3,2,5,2,1,2,1,1,0,0,0,1,4,0,5,8,0,2,0,1,0,0,1,5,0,0,7,0,0,0,0,0,0,0,3,5,2,0,5,0,0,1,0,0,1,1,4,1,4,3,0,0,0,3,0,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,7,142,1.52688172,4.447639084,
pousser,4,0,3,0,0,6,0,0,2,0,0,1,7,1,0,1,0,0,2,0,4,0,4,1,0,1,2,0,0,2,1,0,5,2,0,0,6,2,4,4,0,6,0,5,1,3,0,2,1,1,0,0,0,0,1,7,2,0,0,0,5,0,1,5,1,4,0,3,2,3,0,2,0,0,1,4,0,1,0,3,0,0,4,0,0,0,0,1,0,5,0,4,0,143,1.537634409,3.8599813,
roi,3,5,5,0,0,7,5,0,1,0,0,0,3,2,0,7,0,2,1,5,5,0,4,1,0,0,1,0,1,0,0,0,0,3,4,0,2,3,2,0,0,7,0,6,2,1,0,0,1,3,0,0,0,0,1,0,5,0,0,0,7,0,0,0,0,0,1,5,2,5,0,8,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,6,144,1.548387097,5.272089762,
extension,1,4,0,1,6,0,1,1,0,0,2,6,1,7,0,1,0,1,0,7,0,0,2,2,0,5,2,1,2,0,0,0,0,0,1,1,6,2,4,0,0,3,1,8,1,0,5,1,2,2,0,0,0,0,0,5,0,0,3,6,3,0,2,0,0,0,2,3,1,5,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,8,145,1.559139785,5.249181861,
frappé,3,3,0,0,6,3,0,3,0,0,2,1,1,7,0,0,0,1,0,2,0,1,1,5,3,3,2,5,1,1,0,0,1,0,0,0,3,5,5,1,1,0,3,6,6,0,3,5,2,0,0,0,0,0,0,1,3,0,0,6,2,0,2,0,1,0,0,4,1,3,0,0,0,0,2,0,1,3,0,0,0,0,0,6,0,0,1,1,0,1,0,5,7,145,1.559139785,4.031790556,
torsion,3,1,3,6,0,4,4,0,2,1,2,2,4,7,0,0,1,0,0,0,6,0,3,2,0,2,4,1,0,1,4,0,3,6,0,2,1,1,2,1,0,7,2,0,5,1,0,1,0,6,0,0,0,0,2,4,2,0,0,0,2,0,2,2,2,0,1,4,4,2,0,6,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,3,0,0,0,145,1.559139785,3.662225339,
bateau,3,1,6,1,0,7,5,0,2,0,0,1,2,5,0,0,6,0,0,0,4,0,2,1,0,0,2,2,1,2,1,0,0,0,0,5,8,2,0,2,0,8,0,5,4,1,0,0,3,0,0,1,0,0,3,0,3,0,0,0,6,0,0,0,1,0,4,4,3,5,0,7,0,0,5,2,2,0,1,0,0,0,0,0,0,0,0,1,0,4,0,2,0,146,1.569892473,4.726040206,
engourdi,0,0,3,0,2,4,0,2,3,0,0,1,1,6,0,0,1,4,1,0,4,0,3,1,0,5,6,3,1,1,1,0,4,3,2,0,1,1,2,5,0,1,2,8,0,0,0,2,2,3,0,0,0,0,2,8,1,0,0,0,1,0,1,0,5,0,1,4,8,3,1,0,0,0,0,0,0,0,0,4,0,0,2,0,3,0,1,5,0,3,0,4,0,146,1.569892473,4.139083684,
jetée,2,3,5,0,0,5,0,0,1,0,3,3,1,6,0,0,0,0,0,0,4,0,3,1,0,2,6,2,1,1,0,0,3,0,1,0,8,5,2,1,0,6,1,5,1,2,0,5,4,5,0,0,2,0,4,0,0,0,0,0,6,0,0,1,1,0,1,3,6,4,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,2,0,2,0,146,1.569892473,4.530388032,
plainte,1,1,1,2,0,6,6,0,1,0,0,4,1,2,0,0,1,1,1,2,2,0,1,1,0,7,5,0,0,2,3,1,6,1,6,0,5,4,1,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,3,5,5,0,0,1,5,1,0,0,1,0,0,3,2,5,2,0,0,0,1,0,0,0,0,0,0,4,6,0,2,0,0,4,0,6,0,5,0,146,1.569892473,4.204301075,
lassitude,0,0,1,0,0,4,0,0,2,0,2,3,1,6,0,0,0,0,1,1,4,0,2,1,6,5,3,0,2,2,7,0,4,2,0,0,2,1,0,5,3,0,3,2,3,2,2,1,0,1,0,0,0,3,2,6,2,1,0,1,5,0,2,0,0,4,2,1,4,1,0,0,0,0,1,3,0,0,0,0,2,0,3,0,3,0,0,3,0,6,0,1,8,148,1.591397849,3.700794764,
refermé,1,3,1,0,0,3,0,0,1,0,3,2,1,4,1,0,3,0,2,0,4,0,3,1,0,5,5,2,1,2,0,0,3,0,4,0,1,0,2,6,3,0,0,0,2,4,1,5,1,2,0,0,0,3,5,0,0,3,0,1,2,0,4,0,1,4,0,3,3,4,1,1,0,0,0,4,0,1,0,0,0,0,2,2,2,3,0,2,4,1,0,4,6,148,1.591397849,2.918186068,
assis,3,4,0,0,4,0,6,2,0,0,1,2,1,2,4,0,0,2,0,3,0,2,3,2,0,2,1,1,2,3,0,0,0,0,0,0,3,0,1,1,3,0,0,4,2,1,5,1,1,2,0,0,2,0,2,1,0,0,0,4,0,4,1,0,0,0,0,5,1,4,2,0,6,1,0,0,0,0,0,5,7,2,6,1,0,0,0,0,3,5,3,2,8,149,1.602150538,3.698690977,
